DOEID,House,School,Income,Climate,UR,TOTSQFT,HDD65,CDD65,KWH,TOTALBTUSPH,TOTALBTUCOL,STOVEN,OVEN
10344,Single-Family Detached,High School,37500,"Very Cold/
Cold",R,2268,10242,188,23439,26006,0,0,1
10345,Single-Family Detached,Bachlor's,82500,Hot-Humid,U,1920,1562,2757,18176,6559,12501,1,0
10346,Single-Family Detached,Bachlor's,72500,"Very Cold/
Cold",R,4902,6432,553,32395,30146,1616,1,0
10348,Single-Family Detached,High School,1250,"Very Cold/
Cold",U,2592,6088,526,4567,22460,292,1,0
10349,Single-Family Detached,Bachlor's,22500,"Hot-Dry/
Mixed-Dry",U,2900,1167,1544,8459,14494,4338,1,0
10350,Single-Family Detached,No schooling,17500,Mixed-Humid,R,1680,3391,1706,14371,37125,3770,1,0
10351,Single-Family Detached,Doctorate,130000,"Very Cold/
Cold",U,5185,6781,389,3850,68751,936,1,0
10352,Single-Family Detached,High School,57500,"Hot-Dry/
Mixed-Dry",U,2082,1121,1592,6985,3517,5426,0,1
10353,Single-Family Detached,Master's,62500,Marine,U,1340,4964,287,13564,10113,0,1,0
10354,Single-Family Detached,Bachlor's,47500,Mixed-Humid,U,1978,3283,1681,12022,43682,14012,1,0
10355,Single-Family Detached,Associate's,87500,"Very Cold/
Cold",U,1920,6150,593,15067,70975,3549,1,0
10356,Single-Family Detached,Associate's,22500,"Very Cold/
Cold",U,3700,6642,652,16410,106757,0,1,0
10357,Single-Family Detached,Some College,57500,Mixed-Humid,U,2567,5378,947,25972,17784,2615,1,0
10359,Single-Family Attached,High School,52500,"Very Cold/
Cold",R,3219,7315,549,10777,55771,2343,1,0
10360,Single-Family Detached,Some k-12,12500,"Very Cold/
Cold",U,8736,6133,538,13470,50578,0,0,2
10361,Single-Family Detached,Bachlor's,32500,"Hot-Dry/
Mixed-Dry",U,1275,2494,254,3401,18868,0,1,0
10362,Single-Family Attached,Bachlor's,97500,Marine,U,971,2221,355,2170,11544,0,0,1
10364,Single-Family Detached,Bachlor's,110000,Mixed-Humid,U,3256,3142,1668,12555,6793,4642,1,0
10368,Single-Family Detached,High School,32500,"Hot-Dry/
Mixed-Dry",U,2300,1217,1475,5020,10847,2626,1,0
10370,Single-Family Detached,High School,37500,"Hot-Dry/
Mixed-Dry",R,2640,2370,1816,12767,5822,0,1,0
10373,Single-Family Detached,Some College,17500,Mixed-Humid,R,1512,3264,1596,13785,8483,5549,1,0
10374,Single-Family Detached,Associate's,47500,"Very Cold/
Cold",U,2277,5573,686,11351,58968,3568,1,0
10375,Single-Family Detached,High School,130000,Mixed-Humid,U,1920,4814,1156,9933,45373,2183,1,0
10376,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,3267,5555,709,9441,77480,1373,1,0
10377,Single-Family Detached,Some College,57500,Mixed-Humid,U,2552,4560,1216,9715,52504,6409,1,1
10378,Mobile Home,Some College,1250,"Very Cold/
Cold",R,1334,8573,443,21293,33344,447,1,1
10379,Single-Family Detached,Some College,77500,"Hot-Dry/
Mixed-Dry",R,3502,1015,4465,33878,47402,0,0,1
10381,Single-Family Detached,Master's,62500,Mixed-Humid,U,4546,5239,893,6675,67100,1984,1,0
10382,Single-Family Attached,No schooling,47500,Hot-Humid,U,476,2051,2832,6130,8391,2421,1,0
10383,Single-Family Detached,Bachlor's,42500,"Very Cold/
Cold",R,2250,7891,245,7841,53811,0,1,0
10384,Single-Family Detached,Some College,47500,Mixed-Humid,U,1262,4650,1226,16015,13770,7368,1,0
10386,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,1500,4991,803,13853,107126,0,1,0
10387,Mobile Home,High School,1250,"Very Cold/
Cold",U,938,10336,44,6241,53995,0,1,0
10388,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,2634,6475,553,5500,39030,510,1,0
10389,Single-Family Attached,Bachlor's,67500,Hot-Humid,U,1880,1276,3374,6172,34868,12217,1,0
10391,Single-Family Detached,Associate's,110000,Hot-Humid,U,2362,1167,3303,10660,15439,15186,1,0
10392,Single-Family Detached,High School,17500,Hot-Humid,U,1624,2151,2607,17966,10354,0,1,0
10393,Single-Family Detached,Professional,130000,Mixed-Humid,R,5017,5624,615,16647,98847,2846,1,0
10396,Single-Family Detached,Master's,47500,"Hot-Dry/
Mixed-Dry",U,4622,1163,608,10151,19728,2440,0,2
10397,Single-Family Detached,High School,27500,Hot-Humid,R,1478,1177,2809,13555,6213,9513,1,0
10398,Single-Family Detached,Some k-12,130000,Mixed-Humid,R,2545,2972,1849,22341,14108,12762,1,0
10399,Single-Family Attached,High School,17500,"Very Cold/
Cold",U,525,6134,384,3135,50441,0,1,0
10402,Single-Family Detached,High School,52500,Mixed-Humid,U,2160,5935,641,8124,33424,0,1,0
10403,Single-Family Detached,Some College,57500,"Very Cold/
Cold",U,4370,6609,493,11516,67643,2563,1,0
10404,Single-Family Detached,Some College,1250,Mixed-Humid,U,1876,3513,1353,11851,13846,7035,1,0
10405,Single-Family Detached,Bachlor's,92500,Hot-Humid,U,2179,2463,2477,17171,51595,19043,1,0
10407,Single-Family Detached,Some College,72500,Marine,U,1575,2180,388,5862,15047,0,1,0
10410,Single-Family Detached,Some k-12,52500,"Hot-Dry/
Mixed-Dry",R,2036,2709,2460,13901,7855,13337,1,1
10411,Single-Family Detached,Some College,32500,Mixed-Humid,U,2256,4424,1455,12841,52667,11497,1,0
10412,Single-Family Detached,Doctorate,87500,"Very Cold/
Cold",U,2004,8192,424,10299,62289,779,1,0
10413,Single-Family Detached,Some College,52500,Mixed-Humid,R,1872,1787,2716,15908,5054,14246,1,0
10414,Single-Family Detached,Some College,77500,Hot-Humid,R,2540,2031,2245,17587,9400,14715,1,0
10415,Mobile Home,Some College,32500,Mixed-Humid,R,924,5294,821,18166,17612,3018,1,0
10416,Single-Family Detached,Bachlor's,87500,Marine,U,3762,2656,718,5801,35388,1876,0,1
10417,Single-Family Detached,Professional,130000,Mixed-Humid,U,2314,5173,1070,14243,62071,5998,0,2
10418,Single-Family Detached,Doctorate,87500,Marine,U,3606,2688,700,13727,31148,526,0,2
10419,Single-Family Detached,Master's,82500,Hot-Humid,U,3780,2338,2469,11390,4731,13594,1,0
10420,Single-Family Detached,Bachlor's,57500,Mixed-Humid,U,3660,3008,1760,19464,61807,11198,2,0
10421,Single-Family Attached,Some College,37500,Hot-Humid,U,1072,1080,3459,7944,34681,6272,1,0
10422,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,4218,6917,336,57562,44153,7649,1,1
10423,Single-Family Detached,Master's,57500,Mixed-Humid,U,3120,4098,1336,7798,41339,5821,1,0
10424,Single-Family Detached,Some College,32500,Mixed-Humid,R,7296,1858,2608,16898,5339,18875,1,1
10426,Single-Family Detached,High School,17500,Hot-Humid,U,938,565,3709,7342,2160,591,1,0
10427,Single-Family Detached,Some k-12,8750,Hot-Humid,U,900,540,4037,5380,16712,7173,1,0
10429,Single-Family Detached,High School,67500,Mixed-Humid,R,3429,5900,543,13945,106514,1893,1,0
10430,Single-Family Detached,Some College,72500,Marine,R,2133,5670,160,25543,21017,0,1,0
10431,Single-Family Detached,High School,27500,"Very Cold/
Cold",U,1900,5350,887,10973,84864,2197,1,0
10433,Single-Family Detached,Bachlor's,22500,Mixed-Humid,U,1418,5034,790,4224,47946,569,1,0
10434,Single-Family Attached,Some College,32500,"Very Cold/
Cold",U,784,5700,1145,5490,8185,0,1,0
10436,Single-Family Attached,No schooling,52500,Mixed-Humid,U,832,4830,1146,16341,16953,2855,1,0
10437,Single-Family Attached,Bachlor's,47500,"Very Cold/
Cold",U,2784,5995,578,6055,64887,1762,1,0
10438,Single-Family Detached,Some College,42500,Mixed-Humid,U,3560,3327,1820,13642,41544,17461,1,0
10440,Single-Family Detached,High School,42500,Hot-Humid,U,989,716,389,3119,0,0,1,0
10441,Single-Family Detached,Associate's,87500,Mixed-Humid,R,1824,3141,1632,14601,8138,6534,1,0
10443,Single-Family Detached,High School,87500,Hot-Humid,U,2466,1042,3253,13195,2102,5213,1,0
10444,Single-Family Detached,High School,17500,Hot-Humid,R,1716,2389,2204,22731,9668,13843,2,0
10446,Single-Family Detached,Bachlor's,92500,"Very Cold/
Cold",U,3609,7021,431,10629,83447,2608,0,1
10447,Single-Family Detached,Some k-12,47500,Mixed-Humid,R,1456,4635,1191,15961,62272,4511,1,0
10448,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,2835,7611,477,6566,79130,223,1,0
10449,Single-Family Attached,Bachlor's,17500,Hot-Humid,U,1260,828,3158,6076,2917,2806,1,0
10451,Single-Family Detached,Bachlor's,52500,Mixed-Humid,U,1536,2586,1985,6174,40827,6170,0,1
10452,Single-Family Detached,High School,12500,Mixed-Humid,R,980,3214,1657,15299,22807,5755,1,0
10454,Single-Family Detached,Bachlor's,62500,Mixed-Humid,U,925,4645,1051,11337,2720,3551,1,0
10455,Single-Family Detached,Bachlor's,42500,Mixed-Humid,U,2673,4757,860,4867,118704,1252,1,0
10456,Single-Family Detached,Master's,130000,Mixed-Humid,U,3442,4105,1266,15124,105917,7229,1,0
10458,Single-Family Detached,High School,27500,"Very Cold/
Cold",U,2016,6778,367,6321,42494,151,1,0
10459,Single-Family Detached,Bachlor's,47500,Mixed-Humid,U,2677,4915,1135,6766,46833,3039,1,0
10460,Single-Family Detached,Bachlor's,130000,Marine,U,2718,5710,197,16229,84360,0,1,0
10462,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,1227,6031,603,6992,91733,718,1,0
10464,Single-Family Detached,High School,110000,Marine,U,2456,4763,233,7621,62684,0,1,0
10465,Single-Family Detached,Some College,37500,"Hot-Dry/
Mixed-Dry",U,2317,1337,3538,9297,2071,10643,1,0
10466,Single-Family Detached,Some College,52500,Mixed-Humid,R,1656,4063,1327,8154,0,1714,1,0
10467,Single-Family Detached,High School,92500,"Very Cold/
Cold",R,2480,7805,502,8345,67034,706,1,0
10469,Single-Family Detached,Professional,8750,Mixed-Humid,U,7402,5610,619,15711,13131,5870,0,1
10470,Mobile Home,High School,22500,"Very Cold/
Cold",R,1200,7495,257,21465,405,254,1,0
10471,Single-Family Attached,Associate's,62500,"Very Cold/
Cold",U,2052,5631,662,6078,46845,727,1,0
10472,Single-Family Attached,Bachlor's,32500,"Very Cold/
Cold",U,1421,5398,709,4936,31512,805,1,0
10473,Single-Family Detached,Associate's,52500,Marine,U,1675,2663,142,6351,16663,0,1,0
10474,Single-Family Detached,High School,72500,"Very Cold/
Cold",U,3220,6623,619,7919,72722,2475,1,0
10475,Single-Family Detached,Master's,8750,"Hot-Dry/
Mixed-Dry",U,1012,1052,1092,1962,30006,0,1,0
10476,Single-Family Detached,Master's,110000,Mixed-Humid,R,4746,5262,926,17519,71783,8759,0,1
10479,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,4800,7155,287,6586,144334,0,1,0
10481,Single-Family Detached,High School,47500,Mixed-Humid,R,1911,3496,1403,16104,23863,5000,0,1
10483,Single-Family Attached,Master's,130000,Mixed-Humid,U,2145,4102,1435,14942,12708,8883,1,0
10484,Single-Family Detached,High School,130000,Mixed-Humid,U,3044,4651,1459,13779,8927,8058,1,0
10486,Single-Family Detached,High School,22500,Mixed-Humid,R,1378,3669,1423,10029,5916,2470,1,0
10487,Single-Family Detached,Some College,32500,"Very Cold/
Cold",R,3314,7366,284,5440,80275,1182,1,0
10489,Mobile Home,Some College,27500,"Hot-Dry/
Mixed-Dry",R,980,2480,2391,4052,1974,3861,1,0
10491,Single-Family Detached,High School,6250,Hot-Humid,R,1330,2775,1949,17144,12990,13103,1,0
10494,Single-Family Detached,Master's,72500,"Hot-Dry/
Mixed-Dry",U,2033,4179,1071,4623,44427,0,1,0
10495,Single-Family Detached,High School,27500,Mixed-Humid,U,2004,3328,1431,22292,13741,10518,1,0
10496,Single-Family Detached,Doctorate,130000,Marine,R,2062,4881,414,10841,50205,0,1,0
10497,Single-Family Detached,High School,22500,"Very Cold/
Cold",U,1900,5777,722,2150,75900,104,1,0
10498,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,2934,7157,374,10925,60682,682,0,1
10500,Single-Family Detached,Master's,72500,"Very Cold/
Cold",U,2796,6393,407,10530,71182,1083,1,0
10501,Single-Family Detached,Master's,130000,Hot-Humid,U,2556,26,3836,13812,0,0,0,1
10502,Single-Family Detached,Some College,67500,Mixed-Humid,R,1848,4080,1621,13264,49290,15313,1,0
10503,Single-Family Detached,Associate's,110000,Hot-Humid,U,1624,646,3498,13997,3310,10142,1,0
10505,Single-Family Detached,Doctorate,130000,Mixed-Humid,R,1872,3122,1642,15654,7185,7309,0,1
10506,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,3723,5878,648,10473,91267,1098,1,1
10507,Single-Family Detached,Bachlor's,82500,"Very Cold/
Cold",U,4044,7342,328,11770,105949,812,1,0
10508,Single-Family Attached,High School,6250,Mixed-Humid,R,830,2573,2017,10472,8547,5860,1,0
10511,Single-Family Detached,High School,67500,Mixed-Humid,R,4774,2956,1920,17171,9897,11049,1,0
10512,Single-Family Detached,Master's,72500,"Hot-Dry/
Mixed-Dry",U,900,868,1707,3972,13692,0,1,0
10513,Single-Family Detached,Doctorate,130000,"Very Cold/
Cold",U,3658,5985,636,6761,73299,529,1,0
10514,Single-Family Detached,Some College,47500,Marine,R,1215,5128,119,14639,8952,0,1,0
10516,Single-Family Detached,Bachlor's,52500,Mixed-Humid,R,1479,1909,2511,22114,6192,15814,1,0
10519,Single-Family Detached,Master's,110000,"Very Cold/
Cold",U,2900,6000,715,11219,46381,3399,1,0
10520,Single-Family Detached,Some College,130000,Hot-Humid,U,1850,1595,2701,14481,13663,13116,1,0
10521,Single-Family Detached,Bachlor's,37500,"Hot-Dry/
Mixed-Dry",U,2234,997,4645,9407,0,16592,1,0
10522,Single-Family Detached,Bachlor's,52500,"Very Cold/
Cold",U,999,6410,594,3200,43172,1281,1,0
10523,Single-Family Detached,High School,12500,"Very Cold/
Cold",R,5472,6820,367,12020,71125,0,1,0
10525,Single-Family Detached,High School,42500,Marine,U,2250,2253,339,4226,12871,0,0,1
10526,Single-Family Detached,Doctorate,97500,"Very Cold/
Cold",U,5374,8056,425,9066,96350,2448,0,2
10527,Single-Family Attached,High School,17500,Mixed-Humid,U,3539,4244,1510,5277,88124,4661,1,0
10528,Single-Family Attached,Associate's,12500,"Hot-Dry/
Mixed-Dry",U,544,2011,3605,9001,7697,7644,1,0
10529,Single-Family Detached,Associate's,22500,Mixed-Humid,U,2808,5292,1045,9716,51321,5919,1,0
10530,Single-Family Detached,High School,27500,Mixed-Humid,U,5512,4684,1028,2416,131309,549,1,0
10531,Single-Family Detached,Associate's,47500,"Hot-Dry/
Mixed-Dry",U,1826,1174,4436,11505,2524,10084,1,0
10533,Mobile Home,Associate's,67500,"Very Cold/
Cold",U,1086,9073,398,8178,51825,586,1,0
10534,Single-Family Attached,Master's,67500,Marine,U,1136,2653,193,3788,2896,0,1,0
10537,Single-Family Detached,High School,27500,Hot-Humid,R,1104,1522,2968,10686,19857,14418,1,1
10538,Mobile Home,High School,62500,Mixed-Humid,R,1927,3465,1570,18703,10586,9576,1,0
10539,Single-Family Detached,High School,8750,"Very Cold/
Cold",R,2640,6043,639,7369,78498,722,1,0
10540,Single-Family Detached,Some k-12,22500,Hot-Humid,R,1900,1406,3896,13747,8751,0,1,0
10543,Single-Family Detached,Some College,57500,Hot-Humid,R,2904,1627,3089,3845,29899,5950,0,1
10544,Single-Family Detached,Associate's,72500,"Very Cold/
Cold",R,825,8702,236,6961,41175,982,1,0
10545,Single-Family Detached,Associate's,57500,Mixed-Humid,U,3256,3111,1685,13250,54984,17316,1,0
10547,Single-Family Detached,Some College,22500,"Very Cold/
Cold",R,2160,6877,346,8897,61023,0,1,0
10548,Single-Family Detached,Professional,82500,Marine,U,2969,2634,730,10340,54094,0,0,2
10549,Single-Family Detached,High School,12500,Hot-Humid,U,1190,1674,2389,4605,33859,5960,1,0
10550,Single-Family Detached,Some College,12500,Mixed-Humid,U,1791,3410,1593,13648,29464,3219,1,0
10553,Single-Family Detached,Some k-12,37500,"Hot-Dry/
Mixed-Dry",U,1860,1396,1293,6529,20891,1772,1,0
10554,Single-Family Detached,Bachlor's,110000,"Hot-Dry/
Mixed-Dry",U,3359,1312,1661,14082,22892,7600,0,2
10555,Single-Family Detached,High School,37500,Hot-Humid,U,1260,2265,2478,6936,14636,8571,1,0
10556,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,1820,5818,783,14010,41206,0,1,0
10557,Single-Family Detached,Some College,27500,"Very Cold/
Cold",U,2014,5791,718,10712,54896,4083,2,0
10558,Single-Family Detached,High School,110000,Mixed-Humid,U,2322,5197,905,4975,73048,0,1,0
10559,Single-Family Detached,Bachlor's,47500,"Very Cold/
Cold",R,2368,6368,414,13094,63995,2520,1,0
10561,Single-Family Detached,Bachlor's,77500,Mixed-Humid,U,2332,4970,856,10286,70200,3386,1,0
10562,Single-Family Detached,Some k-12,6250,Marine,R,2870,4868,419,20421,3094,0,1,0
10563,Single-Family Detached,Bachlor's,47500,"Very Cold/
Cold",R,2364,7317,333,15534,66010,1847,1,0
10564,Single-Family Detached,Some College,52500,Mixed-Humid,R,960,3372,1610,18901,0,3816,1,0
10566,Mobile Home,Some College,67500,Marine,R,2764,5002,337,27942,24192,4721,1,0
10567,Single-Family Detached,Some k-12,22500,Hot-Humid,U,1625,2540,2383,8947,54236,4577,1,0
10568,Single-Family Attached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,1538,1121,650,3593,13838,302,1,0
10569,Single-Family Attached,Doctorate,130000,"Hot-Dry/
Mixed-Dry",U,2304,1129,642,5040,10963,0,1,0
10570,Single-Family Attached,Master's,110000,"Hot-Dry/
Mixed-Dry",U,1450,1270,1156,3334,11739,681,1,0
10572,Single-Family Detached,Some College,67500,"Hot-Dry/
Mixed-Dry",U,3552,1163,1914,4842,6672,4741,1,0
10573,Single-Family Detached,Bachlor's,27500,"Very Cold/
Cold",R,3329,8102,404,8724,40766,0,1,0
10574,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,4493,5841,608,9778,68062,4843,0,2
10575,Single-Family Detached,High School,47500,Mixed-Humid,U,2265,4970,996,26079,35345,7211,1,0
10576,Single-Family Attached,High School,1250,Mixed-Humid,U,874,3307,1644,9516,33210,5434,1,0
10577,Single-Family Detached,Bachlor's,12500,"Hot-Dry/
Mixed-Dry",U,3535,7515,77,12010,73057,0,1,0
10578,Single-Family Attached,Bachlor's,110000,Mixed-Humid,U,2737,4711,864,8626,19857,6704,1,0
10579,Mobile Home,Some College,8750,"Hot-Dry/
Mixed-Dry",U,1360,2522,2180,16311,37769,11382,1,0
10580,Single-Family Detached,Bachlor's,97500,Marine,R,4284,5240,185,13438,175624,0,1,0
10582,Single-Family Detached,Bachlor's,47500,"Hot-Dry/
Mixed-Dry",U,1980,2534,1342,9349,25755,2905,1,0
10588,Single-Family Detached,Master's,110000,Mixed-Humid,R,3276,5309,986,11642,72675,5074,1,0
10589,Single-Family Detached,Associate's,77500,Marine,R,2064,4982,384,15099,103282,665,0,1
10593,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,2571,5682,649,4964,164347,0,1,0
10594,Single-Family Attached,Bachlor's,1250,Marine,U,2599,2720,408,5546,36898,0,1,0
10595,Single-Family Detached,Some k-12,12500,Marine,U,1720,4955,392,5581,63616,1486,1,0
10596,Single-Family Detached,Some College,42500,"Very Cold/
Cold",R,2241,7333,409,9009,68280,2529,1,0
10597,Single-Family Detached,Associate's,22500,"Very Cold/
Cold",U,1080,5890,658,4532,44146,523,1,0
10599,Single-Family Detached,Associate's,32500,Mixed-Humid,U,1407,3629,1863,8686,47853,6069,1,0
10601,Single-Family Detached,High School,77500,Mixed-Humid,U,1800,3240,1702,19461,46580,11354,1,0
10602,Single-Family Detached,Bachlor's,22500,"Very Cold/
Cold",U,2400,7038,369,13212,111746,2105,1,0
10603,Single-Family Detached,High School,22500,Mixed-Humid,U,1996,4771,822,5679,55342,4742,1,0
10604,Single-Family Detached,Bachlor's,52500,"Hot-Dry/
Mixed-Dry",U,5147,1042,1102,4144,39320,0,0,1
10605,Single-Family Detached,Some College,32500,"Very Cold/
Cold",R,3096,7146,353,7040,81993,374,1,0
10606,Single-Family Detached,Bachlor's,110000,Mixed-Humid,U,3225,4709,698,12274,11711,4969,1,0
10607,Single-Family Attached,Some College,67500,Hot-Humid,R,2200,728,3482,26684,4712,16496,1,0
10608,Mobile Home,Some College,12500,"Very Cold/
Cold",U,648,5670,1172,14357,41825,0,0,0
10609,Single-Family Detached,Master's,57500,"Very Cold/
Cold",U,3040,5829,522,8742,105442,1104,1,0
10610,Single-Family Detached,Bachlor's,62500,Mixed-Humid,U,4099,5314,1029,9082,83845,5882,1,0
10611,Single-Family Detached,Associate's,62500,"Very Cold/
Cold",U,1440,7118,295,8105,96944,528,1,0
10613,Single-Family Detached,High School,42500,Mixed-Humid,R,1152,4098,1151,21875,15292,5660,1,0
10614,Single-Family Detached,Bachlor's,37500,Marine,U,1986,2707,159,6078,28628,0,1,0
10615,Single-Family Detached,Associate's,52500,Hot-Humid,U,2295,2450,2284,11306,30109,14267,1,0
10617,Single-Family Attached,Doctorate,130000,Marine,U,1584,3060,497,4721,52907,0,1,0
10618,Single-Family Attached,Some k-12,3750,Mixed-Humid,R,1091,4716,1015,34839,31999,9982,1,0
10619,Single-Family Detached,Some k-12,22500,"Very Cold/
Cold",U,1620,5890,438,5106,95068,350,1,0
10620,Single-Family Detached,Some College,57500,Mixed-Humid,U,1681,3084,1762,10578,6588,5183,1,0
10621,Single-Family Detached,High School,62500,"Very Cold/
Cold",U,1976,5818,592,6893,98632,3184,1,0
10622,Single-Family Detached,Associate's,12500,Mixed-Humid,R,1400,4468,1215,6214,0,0,1,0
10625,Single-Family Detached,High School,32500,Mixed-Humid,U,2028,3442,1572,18692,30523,9771,1,0
10626,Single-Family Detached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,4162,3699,1019,10598,47686,5742,0,2
10627,Single-Family Detached,Some College,47500,"Very Cold/
Cold",U,2154,5809,555,12112,71944,956,1,0
10629,Single-Family Detached,Some College,32500,Mixed-Humid,R,1170,4354,1206,11598,22026,1749,1,0
10631,Single-Family Detached,Associate's,130000,"Hot-Dry/
Mixed-Dry",U,4168,2499,2456,14585,28921,11534,1,0
10632,Single-Family Detached,Master's,32500,"Very Cold/
Cold",U,2827,9328,169,4691,48292,0,1,0
10633,Single-Family Detached,Some k-12,42500,"Very Cold/
Cold",U,2775,5686,719,7207,73251,1085,1,0
10635,Single-Family Detached,Associate's,110000,Mixed-Humid,U,3710,4670,1333,17018,79276,12550,1,0
10636,Single-Family Detached,High School,17500,Mixed-Humid,U,2810,5234,968,12817,59465,1090,1,0
10637,Single-Family Detached,High School,12500,"Very Cold/
Cold",U,3375,7607,344,8458,6281,267,1,0
10638,Single-Family Attached,Associate's,77500,Mixed-Humid,U,2734,5546,782,12468,10344,1280,1,0
10639,Single-Family Detached,Bachlor's,47500,Hot-Humid,U,1645,1618,2663,21754,7816,15949,1,0
10640,Single-Family Detached,High School,52500,"Very Cold/
Cold",U,2132,7461,664,8163,77082,2799,1,0
10643,Single-Family Detached,High School,72500,Marine,R,2170,5039,244,11487,10206,0,1,0
10644,Single-Family Detached,Bachlor's,72500,"Very Cold/
Cold",U,1675,7036,613,3453,27777,1716,1,0
10646,Single-Family Detached,Bachlor's,8750,"Very Cold/
Cold",U,2016,5837,734,4675,84186,666,1,0
10647,Single-Family Detached,No schooling,1250,Mixed-Humid,R,1485,2920,1914,8410,7533,3001,1,0
10649,Single-Family Detached,High School,110000,Mixed-Humid,R,3700,5149,811,12413,25278,1171,1,0
10650,Single-Family Detached,Some College,72500,Mixed-Humid,U,1872,4716,1368,19765,62615,9187,1,0
10652,Single-Family Detached,Some College,22500,Mixed-Humid,U,2671,5274,795,27512,19201,8025,1,0
10655,Single-Family Detached,Bachlor's,92500,"Very Cold/
Cold",U,2570,6653,365,5143,96151,0,1,0
10656,Single-Family Detached,Some College,130000,Mixed-Humid,U,5103,5002,1001,19499,63261,12552,1,0
10659,Single-Family Detached,Associate's,110000,Mixed-Humid,R,3298,5760,614,6129,28250,0,1,0
10661,Mobile Home,Bachlor's,47500,Mixed-Humid,R,924,3011,1770,15838,12090,11218,1,0
10662,Single-Family Detached,Doctorate,110000,"Very Cold/
Cold",U,2025,5772,564,3092,75813,959,1,0
10663,Single-Family Detached,Some College,42500,Hot-Humid,U,1800,1546,3297,13655,21305,14169,1,1
10664,Single-Family Detached,High School,12500,"Hot-Dry/
Mixed-Dry",U,3349,2167,2972,6991,24354,7149,1,0
10665,Single-Family Detached,Bachlor's,77500,"Hot-Dry/
Mixed-Dry",U,1625,1980,3664,10643,12599,10319,1,0
10666,Single-Family Detached,High School,12500,Hot-Humid,U,1071,1430,2763,10773,26482,13088,1,0
10669,Single-Family Attached,Some College,52500,"Hot-Dry/
Mixed-Dry",U,2495,2433,1354,8384,5739,2509,1,0
10670,Single-Family Detached,Bachlor's,130000,Mixed-Humid,R,6297,5424,806,17785,125460,8635,0,1
10672,Single-Family Attached,Doctorate,130000,"Hot-Dry/
Mixed-Dry",U,2213,1121,650,3027,11566,0,1,0
10673,Single-Family Detached,Master's,72500,Mixed-Humid,U,5208,3588,1485,15759,69600,18649,0,1
10675,Mobile Home,Some k-12,17500,Mixed-Humid,R,1452,5360,803,22282,4694,3678,1,0
10676,Single-Family Detached,High School,42500,Mixed-Humid,R,3600,3260,1504,18535,41475,17969,1,0
10680,Mobile Home,Some College,130000,"Very Cold/
Cold",R,1392,6781,558,11143,40141,870,1,0
10681,Single-Family Detached,High School,47500,"Hot-Dry/
Mixed-Dry",U,1271,780,1455,4263,14631,0,1,0
10684,Single-Family Detached,Bachlor's,77500,"Very Cold/
Cold",U,3660,8266,242,8216,45906,359,0,1
10685,Single-Family Detached,Bachlor's,57500,Hot-Humid,U,2303,612,3501,12628,1868,14942,1,0
10688,Single-Family Detached,High School,12500,"Very Cold/
Cold",U,1900,6326,673,7819,114200,1619,1,0
10689,Single-Family Detached,High School,27500,"Very Cold/
Cold",U,2780,6726,398,10457,67999,1741,1,0
10690,Single-Family Detached,Bachlor's,87500,"Very Cold/
Cold",U,860,5517,632,12972,14845,1518,1,0
10691,Mobile Home,Some College,27500,Mixed-Humid,R,826,5435,896,7580,45289,0,1,0
10692,Single-Family Detached,Associate's,67500,Mixed-Humid,R,4260,4495,899,36438,48351,16626,0,1
10693,Single-Family Detached,Associate's,17500,"Hot-Dry/
Mixed-Dry",R,3111,1706,2033,4427,12125,8129,0,1
10695,Single-Family Detached,Bachlor's,42500,Hot-Humid,U,2066,2346,2461,11948,36323,16584,1,0
10696,Single-Family Detached,Bachlor's,67500,Marine,R,2870,4697,471,22263,18070,0,1,0
10698,Single-Family Detached,No schooling,27500,"Hot-Dry/
Mixed-Dry",U,1283,2111,2810,5368,26627,0,1,0
10699,Single-Family Detached,Bachlor's,67500,Hot-Humid,U,1540,204,4362,19538,2293,17422,1,0
10700,Single-Family Detached,Bachlor's,12500,Marine,U,6402,4228,500,6110,105282,554,0,2
10703,Single-Family Detached,Associate's,110000,"Very Cold/
Cold",U,2920,6146,377,5924,60681,0,1,0
10704,Single-Family Detached,Master's,62500,Mixed-Humid,U,3375,5810,567,5805,86101,659,1,1
10705,Single-Family Detached,High School,22500,"Very Cold/
Cold",U,2354,5317,747,8592,75880,447,1,0
10707,Single-Family Detached,High School,8750,Hot-Humid,U,759,670,3459,6503,1999,5933,1,0
10708,Single-Family Detached,High School,67500,Mixed-Humid,R,1440,3993,1190,16232,14122,6183,1,0
